"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"PROD_ID";"SUPPLIER";"VALUE";"WE-NUMBER";
"1";"";"DIODE_SOD-123FL";"SOD-123FL";"D1";"Diode";"";"";"";"";"";"";"";"";
"1";"";"PINHD-1X9";"1X09";"JP6";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"";"TERMBLOCK_1X2";"TERMBLOCK_1X2-3.5MM";"J1, J3";"3.5mm Terminal block";"";"";"";"";"";"";"";"";
"1";"";"USB_C16PIN";"USB-C-16P";"J2";"USB Type C 16Pin Connector";"";"";"";"";"CONN-14122";"";"";"";
"1";"0";"10KOHM-0603-1/10W-1%";"0603";"R1";"10kO resistor";"";"";"";"";"RES-00824";"";"10k";"";
"6";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C3, C4, C8, C11, C14, C16";"0.1µF ceramic capacitors";"";"";"";"";"CAP-00810";"";"0.1uF";"";
"1";"1.0uF";"1.0UF-0805-25V-(+80/-20%)";"0805";"C7";"1µF ceramic capacitors";"";"";"";"";"CAP-11625";"";"1.0uF";"";
"5";"100k";"R-US_R0603";"R0603";"R5, R6, R16, R25, R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"13";"10k";"10KOHM-0603-1/10W-1%";"0603";"R2, R4, R7, R8, R9, R10, R11, R17, R18, R20, R23, R24, R30";"10kO resistor";"";"";"";"";"RES-00824";"";"10k";"";
"2";"10nF";"1.0UF-0805-25V-(+80/-20%)";"0805";"C9, C22";"1µF ceramic capacitors";"";"";"";"";"CAP-11625";"";"1.0uF";"";
"3";"10uF";"10UF-0603-6.3V-20%";"0603";"C5, C6, C20";"10.0µF ceramic capacitors";"";"";"";"";"CAP-11015";"";"10uF";"";
"1";"10uF";"47PF-0603-50V-5%";"0603";"C17";"47pF ceramic capacitors";"";"";"";"";"CAP-08913";"";"47pF";"";
"1";"19269";"AUDIO_3.5MMJACK";"4UCONN_19269";"X2";"3.5MM Audio Jack";"";"";"";"";"";"";"";"";
"1";"1M";"R-US_R0603";"R0603";"R21";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
